enterprise_id,enterprise_name,county,sub_county,ward,value_chain,ownership_category,employees,registration_status,year_established,capacity_score,support_need,latitude,longitude
1,Nairobi Plastics Recyclers 001,Nairobi,Makadara,Makadara,Plastics and Packaging,PWD-owned,15,Registered,2015,5,Access to finance,-1.332595,36.772078
2,Nairobi Packaging Solutions 002,Nairobi,Embakasi East,Embakasi East,Plastics and Packaging,Youth-owned,4,Registered,2019,5,Equipment/machinery,-1.291136,36.736676
3,Nairobi Packaging Solutions 003,Nairobi,Makadara,Makadara,Plastics and Packaging,Youth-owned,2,Registered,2020,3,Access to finance,-1.306029,36.781917
4,Nairobi Green Compost Co 004,Nairobi,Kasarani,Kasarani,Organic Waste,Women-owned,12,Registered,2025,4,Access to finance,-1.236817,36.863252
5,Nairobi Construction Waste Reuse 005,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,PWD-owned,4,Not Registered,2021,3,Access to finance,-1.347488,36.74442
6,Nairobi Black Soldier Fly Farm 006,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,20,Registered,2024,3,Certification/standards,-1.23196,36.761178
7,Nairobi Textile Waste Hub 007,Nairobi,Makadara,Makadara,Textiles,Youth-owned,20,Registered,2015,5,Market linkages,-1.338034,36.815107
8,Nairobi Textile Upcyclers 008,Nairobi,Mathare,Mathare,Textiles,Youth-owned,6,Registered,2022,5,Certification/standards,-1.325318,36.780093
9,Nairobi Electro Recovery 009,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Women-owned,15,Registered,2024,3,Certification/standards,-1.334422,36.776293
10,Nairobi TechWaste Solutions 010,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Women-owned,3,Registered,2025,1,Access to finance,-1.202581,36.7568
11,Nairobi E-Waste Hub 011,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),Women-owned,1,Not Registered,2016,3,Business registration support,-1.312842,36.83916
12,Nairobi Construction Waste Reuse 012,Nairobi,Mathare,Mathare,Circular Construction Materials,Women-owned,25,Not Registered,2019,4,Access to finance,-1.266727,36.751979
13,Nairobi Green Building Materials 013,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,Youth-owned,4,Registered,2017,5,Business registration support,-1.217827,36.888593
14,Nairobi Reclaimed Materials 014,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,4,Registered,2024,3,Technical training,-1.27429,36.819849
15,Nairobi Plastics Recyclers 015,Nairobi,Makadara,Makadara,Plastics and Packaging,General/Other,20,Registered,2023,2,Market linkages,-1.294622,36.744358
16,Nairobi Thrift & Mend 016,Nairobi,Kamukunji,Kamukunji,Textiles,Youth-owned,25,Registered,2019,5,Certification/standards,-1.225062,36.808065
17,Nairobi TechWaste Solutions 017,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),Youth-owned,1,Registered,2018,1,Technical training,-1.220169,36.813168
18,Nairobi Green Building Materials 018,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,2,Registered,2019,1,Technical training,-1.369321,36.845499
19,Nairobi Circuit Reclaim 019,Nairobi,Kamukunji,Kamukunji,Electrical and Electronic Waste (E-waste),Women-owned,10,Not Registered,2018,4,Market linkages,-1.358284,36.900293
20,Nairobi Plastics Recyclers 020,Nairobi,Makadara,Makadara,Plastics and Packaging,Women-owned,20,Not Registered,2016,1,Certification/standards,-1.304511,36.808144
21,Nairobi Repurposed Plastics Co 021,Nairobi,Makadara,Makadara,Plastics and Packaging,Youth-owned,10,Registered,2017,2,Business registration support,-1.321026,36.887001
22,Nairobi Black Soldier Fly Farm 022,Nairobi,Embakasi East,Embakasi East,Organic Waste,General/Other,1,Registered,2023,5,Access to finance,-1.224693,36.745469
23,Nairobi Plastics Recyclers 023,Nairobi,Mathare,Mathare,Plastics and Packaging,Women-owned,1,Registered,2015,2,Equipment/machinery,-1.229335,36.761836
24,Nairobi TechWaste Solutions 024,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),PWD-owned,25,Registered,2018,5,Certification/standards,-1.240777,36.783245
25,Nairobi Organic Waste Solutions 025,Nairobi,Kibra,Kibra,Organic Waste,PWD-owned,15,Registered,2023,1,Access to finance,-1.277848,36.829495
26,Nairobi Textile Upcyclers 026,Nairobi,Kamukunji,Kamukunji,Textiles,Women-owned,2,Not Registered,2024,2,Equipment/machinery,-1.36768,36.765348
27,Nairobi Textile Waste Hub 027,Nairobi,Kamukunji,Kamukunji,Textiles,Women-owned,6,Not Registered,2018,5,Business registration support,-1.374947,36.746657
28,Nairobi Organic Waste Solutions 028,Nairobi,Kasarani,Kasarani,Organic Waste,Youth-owned,1,Registered,2024,3,Access to finance,-1.310859,36.852804
29,Nairobi Plastics Recyclers 029,Nairobi,Kamukunji,Kamukunji,Plastics and Packaging,General/Other,6,Registered,2022,1,Market linkages,-1.343732,36.779636
30,Nairobi Construction Waste Reuse 030,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,Women-owned,20,Registered,2017,5,Technical training,-1.205006,36.877178
31,Nairobi Compost Works 031,Nairobi,Kibra,Kibra,Organic Waste,Youth-owned,6,Registered,2025,2,Certification/standards,-1.248465,36.759881
32,Nairobi Green Compost Co 032,Nairobi,Dagoretti North,Dagoretti North,Organic Waste,Youth-owned,1,Registered,2017,4,Technical training,-1.336898,36.895369
33,Nairobi Organic Waste Solutions 033,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,25,Not Registered,2023,1,Access to finance,-1.30257,36.85892
34,Nairobi PET Collectors 034,Nairobi,Kamukunji,Kamukunji,Plastics and Packaging,Youth-owned,6,Registered,2018,3,Access to finance,-1.282645,36.809262
35,Nairobi PET Collectors 035,Nairobi,Mathare,Mathare,Plastics and Packaging,General/Other,3,Not Registered,2017,2,Market linkages,-1.281321,36.889348
36,Nairobi E-Waste Recyclers 036,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),General/Other,3,Not Registered,2016,2,Technical training,-1.249518,36.791693
37,Nairobi E-Waste Recyclers 037,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),General/Other,4,Registered,2025,3,Technical training,-1.297376,36.767823
38,Nairobi Kitenge Revival 038,Nairobi,Kasarani,Kasarani,Textiles,General/Other,12,Registered,2023,3,Certification/standards,-1.331951,36.744396
39,Nairobi Compost Works 039,Nairobi,Kibra,Kibra,Organic Waste,Women-owned,2,Registered,2020,3,Access to finance,-1.224233,36.778919
40,Nairobi Black Soldier Fly Farm 040,Nairobi,Kamukunji,Kamukunji,Organic Waste,General/Other,1,Not Registered,2015,2,Technical training,-1.204938,36.752716
41,Nairobi Reclaimed Materials 041,Nairobi,Makadara,Makadara,Circular Construction Materials,PWD-owned,2,Not Registered,2020,3,Equipment/machinery,-1.252603,36.865451
42,Nairobi Construction Waste Reuse 042,Nairobi,Makadara,Makadara,Circular Construction Materials,Youth-owned,8,Registered,2019,3,Certification/standards,-1.229457,36.861456
43,Nairobi Green Building Materials 043,Nairobi,Embakasi East,Embakasi East,Circular Construction Materials,PWD-owned,15,Registered,2023,2,Business registration support,-1.30642,36.901165
44,Nairobi PET Collectors 044,Nairobi,Kasarani,Kasarani,Plastics and Packaging,Women-owned,10,Registered,2018,3,Equipment/machinery,-1.344267,36.873337
45,Nairobi EcoBrick Works 045,Nairobi,Mathare,Mathare,Circular Construction Materials,Youth-owned,12,Registered,2024,1,Technical training,-1.219887,36.875184
46,Nairobi Compost Works 046,Nairobi,Mathare,Mathare,Organic Waste,Youth-owned,1,Registered,2022,2,Market linkages,-1.21074,36.774176
47,Nairobi Recycled Blocks Co 047,Nairobi,Dagoretti North,Dagoretti North,Circular Construction Materials,Youth-owned,8,Registered,2025,4,Equipment/machinery,-1.307501,36.845258
48,Nairobi Plastics Recyclers 048,Nairobi,Mathare,Mathare,Plastics and Packaging,General/Other,1,Registered,2016,5,Equipment/machinery,-1.305574,36.76356
49,Nairobi Circuit Reclaim 049,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),Women-owned,15,Not Registered,2023,3,Equipment/machinery,-1.298464,36.827504
50,Nairobi E-Waste Hub 050,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),Women-owned,20,Registered,2023,3,Market linkages,-1.220603,36.865758
